cond_uscm,pH,pressure_mbar,temp_C,depth_m,alt_m
0.11,3.77,954.80,27.00,-0.60,498.12
0.13,3.77,955.00,27.00,-0.59,496.38
0.11,3.77,954.60,26.99,-0.60,499.87
0.11,3.77,954.80,26.98,-0.60,498.12
0.13,3.78,955.20,26.98,-0.59,494.63
0.13,3.78,954.60,26.97,-0.60,499.87
0.13,3.78,954.90,26.97,-0.59,497.25
0.08,3.78,954.30,26.97,-0.60,502.49
0.08,3.78,955.40,26.96,-0.59,492.88
0.04,3.78,955.10,26.96,-0.59,495.50
0.11,3.78,954.80,26.95,-0.60,498.12
0.11,3.78,954.60,26.95,-0.60,499.87
0.08,3.77,955.00,26.94,-0.59,496.38
0.04,3.77,955.10,26.94,-0.59,495.50
0.15,3.77,955.30,26.94,-0.59,493.76
0.11,3.77,954.70,26.94,-0.60,499.00
0.08,3.78,955.10,26.93,-0.59,495.50
0.11,3.77,954.90,26.94,-0.59,497.25
0.08,3.78,955.40,26.93,-0.59,492.88
0.11,3.78,955.00,26.93,-0.59,496.38
0.13,3.77,955.10,26.93,-0.59,495.50
0.13,3.77,955.00,26.93,-0.59,496.38
0.11,3.77,955.10,26.94,-0.59,495.50
0.13,3.77,955.30,26.93,-0.59,493.76
0.11,3.78,955.20,26.93,-0.59,494.63
0.08,3.78,955.10,26.93,-0.59,495.50
0.11,3.78,954.90,26.94,-0.59,497.25
0.11,3.78,955.40,26.94,-0.59,492.88
0.13,3.78,955.40,26.93,-0.59,492.88
0.13,3.78,954.80,26.97,-0.60,498.12
0.17,3.78,955.00,26.94,-0.59,496.38
0.11,3.77,955.10,26.93,-0.59,495.50
0.11,3.78,955.40,26.93,-0.59,492.88
0.06,3.78,955.40,26.93,-0.59,492.88
0.08,3.77,955.20,26.93,-0.59,494.63
0.13,3.78,955.20,26.93,-0.59,494.63
0.11,3.78,954.60,26.93,-0.60,499.87
0.13,3.78,955.00,26.93,-0.59,496.38
0.13,3.78,954.60,26.93,-0.60,499.87
0.17,3.78,955.30,26.93,-0.59,493.76
0.08,3.78,955.20,26.93,-0.59,494.63
0.08,3.78,954.60,26.94,-0.60,499.87
0.13,3.78,955.40,26.94,-0.59,492.88
0.11,3.77,954.90,26.94,-0.59,497.25
0.08,3.78,955.10,26.94,-0.59,495.50
0.08,3.77,955.00,26.95,-0.59,496.38
0.11,3.77,955.10,26.95,-0.59,495.50
0.15,3.78,955.30,26.96,-0.59,493.76
0.17,3.77,955.30,26.96,-0.59,493.76
0.08,3.77,955.20,26.97,-0.59,494.63
0.06,3.77,954.50,26.97,-0.60,500.74
0.11,3.78,955.00,26.97,-0.59,496.38
0.15,3.78,954.50,26.98,-0.60,500.74
0.13,3.78,954.50,26.99,-0.60,500.74
0.11,3.78,955.10,26.99,-0.59,495.50
0.15,3.78,955.10,27.00,-0.59,495.50
0.08,3.78,955.00,27.01,-0.59,496.38
0.13,3.78,955.00,27.00,-0.59,496.38
0.17,3.78,955.30,27.01,-0.59,493.76
0.08,3.78,955.20,27.01,-0.59,494.63
0.08,3.78,955.20,27.01,-0.59,494.63
0.11,3.78,955.00,27.01,-0.59,496.38
0.06,3.78,955.10,27.02,-0.59,495.50
0.11,3.78,954.70,27.02,-0.60,499.00
0.08,3.78,954.80,27.05,-0.60,498.12
0.11,3.78,954.90,27.02,-0.59,497.25
0.11,3.78,954.90,27.02,-0.59,497.25
0.11,3.78,955.10,27.02,-0.59,495.50
0.13,3.79,955.20,27.02,-0.59,494.63
0.13,3.78,955.30,27.03,-0.59,493.76
0.11,3.79,955.40,27.03,-0.59,492.88
0.13,3.78,955.60,27.03,-0.59,491.14
0.13,3.79,955.30,27.03,-0.59,493.76
0.13,3.78,955.20,27.03,-0.59,494.63
0.15,3.78,955.10,27.03,-0.59,495.50
0.13,3.78,954.80,27.04,-0.60,498.12
0.15,3.78,955.50,27.04,-0.59,492.01
0.13,3.79,955.10,27.04,-0.59,495.50
0.11,3.79,955.20,27.04,-0.59,494.63
0.06,3.78,955.30,27.04,-0.59,493.76
0.08,3.79,955.10,27.05,-0.59,495.50
0.08,3.79,954.70,27.05,-0.60,499.00
0.08,3.79,955.40,27.05,-0.59,492.88
0.11,3.79,954.90,27.06,-0.59,497.25
0.11,3.78,955.00,27.06,-0.59,496.38
0.11,3.79,955.10,27.07,-0.59,495.50
0.13,3.79,955.00,27.07,-0.59,496.38
0.13,3.79,954.70,27.08,-0.60,499.00
0.13,3.79,955.10,27.09,-0.59,495.50
0.13,3.79,955.40,27.09,-0.59,492.88
0.13,3.79,955.20,27.09,-0.59,494.63
0.08,3.79,955.30,27.09,-0.59,493.76
0.08,3.79,954.70,27.10,-0.60,499.00
0.13,3.79,955.30,27.10,-0.59,493.76
0.06,3.79,955.30,27.11,-0.59,493.76
0.11,3.79,955.10,27.11,-0.59,495.50
0.11,3.79,955.10,27.11,-0.59,495.50
0.13,3.79,955.00,27.11,-0.59,496.38
0.08,3.78,955.40,27.11,-0.59,492.88
0.13,3.79,955.20,27.11,-0.59,494.63
0.08,3.79,955.30,27.11,-0.59,493.76
0.08,3.79,954.90,27.10,-0.59,497.25
0.08,3.79,954.70,27.10,-0.60,499.00
0.13,3.79,955.40,27.10,-0.59,492.88
0.11,3.78,955.10,27.09,-0.59,495.50
0.13,3.79,955.00,27.09,-0.59,496.38
0.13,3.80,955.20,27.08,-0.59,494.63
0.15,3.79,955.30,27.08,-0.59,493.76
0.17,3.79,955.30,27.07,-0.59,493.76
0.13,3.79,955.10,27.07,-0.59,495.50
0.06,3.79,955.30,27.06,-0.59,493.76
0.11,3.79,955.10,27.06,-0.59,495.50
0.11,3.79,954.70,27.05,-0.60,499.00
0.13,3.79,955.30,27.05,-0.59,493.76
