EC,PRESS,TEMP,DEPTH,ALT
591.90,3575.70,34.07,26.21,-12015.48,
592.30,3641.40,34.09,26.88,-12210.96,
592.20,3706.40,34.11,27.55,-12401.56,
592.40,3776.50,34.13,28.26,-12604.10,
592.40,3848.90,34.14,29.01,-12810.12,
592.40,3917.00,34.16,29.70,-13001.06,
592.50,3980.30,34.18,30.35,-13176.14,
592.60,4050.10,34.19,31.06,-13366.61,
592.70,4117.60,34.21,31.75,-13548.30,
592.90,4197.60,34.23,32.57,-13760.52,
593.00,4268.60,34.24,33.30,-13946.15,
592.90,4341.00,34.26,34.04,-14132.88,
593.10,4408.10,34.27,34.72,-14303.71,
593.20,4474.20,34.28,35.40,-14469.94,
593.10,4531.80,34.30,35.99,-14613.18,
593.30,4489.50,34.30,35.56,-14508.13,
593.50,4518.90,34.31,35.86,-14581.23,
593.50,4582.00,34.33,36.50,-14736.82,
593.50,4643.40,34.34,37.13,-14886.57,
593.60,4671.10,34.35,37.41,-14953.60,
593.80,4721.20,34.36,37.93,-15074.03,
593.90,4774.90,34.37,38.48,-15201.96,
594.40,4826.00,34.38,39.00,-15322.62,
594.40,4879.50,34.39,39.55,-15447.85,
594.40,4934.60,34.40,40.11,-15575.66,
594.00,4990.50,34.41,40.68,-15704.15,
594.30,5041.40,34.42,41.20,-15820.14,
594.40,5090.50,34.43,41.70,-15931.14,
594.40,5136.10,34.44,42.17,-16033.45,
594.40,5191.50,34.45,42.74,-16156.76,
594.60,5235.10,34.46,43.18,-16253.06,
594.50,5285.10,34.47,43.69,-16362.70,
594.60,5331.80,34.48,44.17,-16464.35,
594.60,5382.70,34.49,44.69,-16574.32,
594.60,5438.30,34.50,45.26,-16693.49,
594.60,5490.00,34.51,45.79,-16803.42,
594.70,5540.30,34.53,46.30,-16909.57,
594.70,5593.80,34.54,46.85,-17021.61,
594.80,5639.50,34.55,47.32,-17116.64,
594.80,5689.70,34.56,47.83,-17220.31,
594.80,5741.50,34.57,48.36,-17326.51,
594.80,5796.10,34.59,48.92,-17437.61,
594.80,5854.00,34.60,49.51,-17554.51,
594.80,5905.90,34.61,50.04,-17658.49,
594.90,5951.40,34.63,50.51,-17749.05,
594.80,5997.90,34.64,50.98,-17841.02,
594.90,6039.30,34.65,51.41,-17922.43,
594.80,6081.70,34.66,51.84,-18005.32,
594.90,6122.90,34.67,52.26,-18085.43,
594.90,6167.60,34.68,52.72,-18171.85,
595.20,6204.50,34.69,53.10,-18242.81,
594.70,6255.30,34.71,53.62,-18339.94,
594.60,6318.80,34.73,54.27,-18460.46,
594.70,6380.30,34.74,54.90,-18576.25,
594.40,6437.50,34.75,55.48,-18683.14,
594.70,6485.90,34.77,55.98,-18772.98,
